Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2017-01-02,1084.0,1090.0,1072.35,1086.7,1085.1,1622458.0,17630.16
2017-01-03,1089.85,1097.0,1081.1,1089.0,1089.4,1470751.0,16056.82
2017-01-04,1092.9,1093.0,1064.3,1067.15,1067.15,2375547.0,25475.14
2017-01-05,1071.0,1079.9,1068.75,1077.0,1077.4,1996483.0,21504.52
2017-01-06,1074.2,1085.0,1073.1,1073.95,1074.95,1793427.0,19347.04
2017-01-09,1077.0,1086.0,1071.0,1078.0,1077.7,1195257.0,12901.71
2017-01-10,1080.0,1094.4,1080.0,1088.0,1089.85,2594400.0,28274.65
2017-01-11,1095.0,1095.7,1084.0,1084.8,1086.05,2623211.0,28529.43
2017-01-12,1087.0,1090.35,1079.8,1080.45,1083.3,999364.0,10839.38
2017-01-13,1084.55,1097.5,1084.55,1089.95,1090.4,1653669.0,18056.54
2017-01-16,1089.95,1093.95,1073.95,1076.7,1076.25,2746005.0,29612.51
2017-01-17,1065.0,1068.0,1038.5,1040.0,1041.25,8968290.0,94098.27
2017-01-18,1042.6,1048.0,1028.75,1031.95,1032.55,3627071.0,37593.7
2017-01-19,1035.15,1045.3,1031.0,1032.45,1033.7,3493728.0,36234.12
2017-01-20,1033.95,1037.45,1023.9,1025.7,1025.8,2008082.0,20671.68
2017-01-23,1021.8,1031.0,1012.8,1018.4,1015.9,3133533.0,31942.45
2017-01-24,1017.0,1028.8,1017.0,1027.9,1027.3,2153091.0,22050.28
2017-01-25,1032.0,1032.7,1016.15,1018.05,1017.3,5453230.0,55628.85
2017-01-27,1020.25,1028.9,1019.0,1028.15,1025.1,4997239.0,51192.64
2017-01-30,1024.95,1046.45,1024.8,1044.95,1044.8,3583756.0,37212.27
2017-01-31,1046.85,1053.8,1040.3,1045.0,1045.2,3457365.0,36170.3
2017-02-01,1046.1,1050.9,1035.2,1050.0,1049.65,2585798.0,27018.06
2017-02-02,1050.0,1050.8,1038.25,1045.55,1043.5,2079908.0,21677.3
2017-02-03,1046.0,1050.45,1030.1,1033.45,1033.65,3021751.0,31372.86
2017-02-06,1037.0,1044.9,1032.05,1040.7,1041.65,2283982.0,23712.56
2017-02-07,1042.0,1042.35,1027.2,1031.95,1030.9,2264245.0,23365.38
2017-02-08,1030.9,1038.25,1022.0,1022.7,1025.15,3710094.0,38128.75
2017-02-09,1028.0,1034.0,1026.8,1032.45,1032.75,2254216.0,23231.59
2017-02-10,1035.0,1035.55,1025.55,1030.0,1030.15,2861531.0,29499.23
2017-02-13,1033.0,1034.0,1022.0,1030.0,1029.85,1957988.0,20099.84
2017-02-14,1035.0,1052.9,1029.9,1048.1,1049.8,4170414.0,43681.08
2017-02-15,1052.9,1057.5,1045.25,1050.35,1051.3,3482845.0,36672.2
2017-02-16,1052.55,1069.45,1052.55,1065.95,1067.5,4492847.0,47739.24
2017-02-17,1066.5,1078.2,1058.45,1070.7,1075.5,3393856.0,36333.67
2017-02-20,1070.55,1078.85,1066.5,1075.0,1075.4,2663127.0,28618.07
2017-02-21,1075.2,1090.95,1073.05,1088.1,1088.2,3242790.0,35178.53
2017-02-22,1093.0,1211.65,1092.0,1209.8,1207.5,29103926.0,342791.84
2017-02-23,1213.6,1222.0,1179.35,1186.8,1182.75,14229234.0,170230.05
2017-02-27,1190.5,1256.8,1190.35,1237.55,1238.9,19068911.0,236834.17
2017-02-28,1232.0,1248.0,1228.5,1237.65,1238.05,8254531.0,102412.3
2017-03-01,1240.1,1244.4,1230.0,1231.55,1234.5,5574153.0,69023.76
2017-03-02,1237.9,1254.7,1227.05,1234.95,1236.75,4129033.0,51241.65
2017-03-03,1241.55,1287.8,1241.55,1258.6,1258.55,19270851.0,244564.22
2017-03-06,1269.0,1312.0,1265.25,1308.0,1305.35,15252154.0,198031.97
2017-03-07,1318.85,1327.0,1296.15,1306.35,1304.95,9616850.0,125905.18
2017-03-08,1307.7,1307.7,1286.1,1288.15,1291.2,9906103.0,128257.19
2017-03-09,1290.0,1298.0,1281.5,1285.4,1286.75,7107670.0,91508.75
2017-03-10,1290.25,1296.0,1261.2,1279.1,1281.65,5665568.0,72646.72
2017-03-14,1318.75,1319.0,1285.25,1288.25,1289.5,6346620.0,82447.95
2017-03-15,1291.05,1316.3,1290.4,1302.0,1304.95,5510658.0,72018.63
2017-03-16,1310.0,1310.4,1293.6,1296.8,1297.65,3639964.0,47328.22
2017-03-17,1308.0,1319.95,1298.05,1300.55,1300.7,5195076.0,67681.24
2017-03-20,1306.0,1306.25,1278.35,1280.95,1280.8,2941714.0,37884.56
2017-03-21,1282.2,1283.9,1259.3,1265.2,1263.8,5165107.0,65607.87
2017-03-22,1252.0,1265.9,1246.55,1260.45,1259.7,4638338.0,58308.0
2017-03-23,1263.15,1277.55,1258.0,1272.0,1273.3,2699090.0,34262.25
2017-03-24,1274.1,1292.0,1268.45,1284.0,1286.75,3721911.0,47730.79
2017-03-27,1271.1,1278.75,1247.2,1248.5,1251.1,7418122.0,93337.36
2017-03-28,1258.0,1264.0,1242.1,1246.3,1245.75,4961934.0,62009.77
2017-03-29,1251.7,1260.0,1233.35,1259.2,1256.65,4325787.0,53921.25
2017-03-30,1255.0,1274.75,1253.0,1267.6,1270.65,6368859.0,80751.12
2017-03-31,1266.0,1337.65,1266.0,1320.6,1320.9,10375519.0,136029.18
2017-04-03,1342.0,1380.5,1337.05,1373.25,1374.65,10260327.0,140140.71
2017-04-05,1395.2,1418.0,1380.1,1415.05,1415.0,9217360.0,129103.86
2017-04-06,1409.0,1448.9,1402.2,1434.0,1438.5,11571075.0,165379.75
2017-04-07,1421.3,1434.0,1402.55,1405.25,1406.6,7286151.0,103431.88
2017-04-10,1410.0,1424.9,1377.3,1384.75,1381.35,7033141.0,98250.94
2017-04-11,1387.85,1400.45,1370.1,1375.7,1372.35,7371727.0,101943.85
2017-04-12,1382.8,1386.45,1351.15,1355.0,1354.0,6274215.0,85562.64
2017-04-13,1354.0,1373.4,1347.35,1365.8,1364.8,2906188.0,39690.78
2017-04-17,1365.0,1395.55,1365.0,1391.45,1391.85,2705854.0,37350.39
2017-04-18,1399.95,1410.0,1367.0,1369.0,1370.2,3661083.0,51016.01
2017-04-19,1369.0,1382.55,1357.55,1369.95,1368.8,2645292.0,36206.55
2017-04-20,1379.0,1386.8,1364.1,1370.45,1369.55,1918612.0,26319.19
2017-04-21,1380.5,1421.0,1378.55,1405.0,1402.5,6910277.0,97054.82
2017-04-24,1409.05,1435.0,1400.2,1417.85,1417.4,5831731.0,82736.94
2017-04-25,1460.0,1467.75,1426.1,1431.0,1432.8,8403704.0,121257.13
2017-04-26,1435.0,1440.05,1402.6,1416.5,1416.45,3831775.0,54466.71
2017-04-27,1417.0,1424.15,1402.2,1409.0,1409.5,2873655.0,40473.73
2017-04-28,1409.75,1420.3,1391.0,1394.25,1395.2,2708404.0,38020.55
2017-05-02,1402.0,1402.0,1366.3,1372.0,1370.55,4249684.0,58467.68
2017-05-03,1376.9,1380.75,1365.0,1370.2,1370.1,2171549.0,29779.65
2017-05-04,1375.0,1379.6,1354.05,1361.6,1357.95,3283811.0,44801.39
2017-05-05,1361.6,1367.35,1325.0,1328.4,1328.25,3565543.0,47910.06
2017-05-08,1330.0,1339.5,1318.35,1320.1,1321.4,3672585.0,48771.81
2017-05-09,1324.0,1333.65,1320.25,1330.0,1330.35,4824511.0,64140.63
2017-05-10,1334.8,1363.6,1330.65,1359.2,1359.1,5235932.0,70826.04
2017-05-11,1364.1,1369.75,1351.65,1357.0,1359.55,3150756.0,42881.67
2017-05-12,1360.05,1364.0,1344.05,1349.9,1350.45,1719729.0,23242.43
2017-05-15,1356.4,1356.4,1333.5,1343.6,1344.1,1540213.0,20703.79
2017-05-16,1346.05,1376.9,1341.0,1356.2,1356.3,2892947.0,39361.21
2017-05-17,1353.0,1365.95,1347.75,1350.0,1353.1,2250304.0,30472.63
2017-05-18,1340.25,1350.0,1324.1,1327.45,1327.35,2237916.0,29901.78
2017-05-19,1333.0,1335.7,1310.0,1318.2,1318.85,2928883.0,38719.4
2017-05-22,1326.5,1333.6,1315.2,1326.0,1324.15,2011859.0,26613.18
2017-05-23,1325.7,1329.85,1302.0,1304.55,1305.55,2108223.0,27692.47
2017-05-24,1307.5,1313.7,1295.1,1299.0,1297.7,3274804.0,42661.22
2017-05-25,1300.0,1312.4,1296.45,1301.5,1302.45,5925335.0,77218.43
2017-05-26,1303.95,1344.4,1300.0,1339.0,1337.3,4898639.0,64671.03
2017-05-29,1337.0,1365.45,1335.6,1355.25,1356.9,5491170.0,74282.68
2017-05-30,1355.9,1364.7,1348.5,1360.0,1359.35,2207727.0,29964.32
2017-05-31,1367.0,1367.95,1335.8,1340.0,1340.7,3754099.0,50555.52
2017-06-01,1332.7,1340.0,1323.0,1329.85,1328.25,2179328.0,28969.98
2017-06-02,1335.0,1338.7,1317.0,1322.9,1324.75,2627565.0,34849.09
2017-06-05,1326.25,1341.0,1315.85,1330.0,1329.35,2476706.0,32906.63
2017-06-06,1333.95,1333.95,1311.0,1312.5,1312.8,2192356.0,28942.7
2017-06-07,1311.2,1342.0,1309.0,1339.0,1339.0,2559954.0,33997.19
2017-06-08,1340.0,1344.8,1328.05,1333.9,1331.7,1806521.0,24068.82
2017-06-09,1345.1,1352.95,1331.0,1332.95,1335.7,3162802.0,42410.89
2017-06-12,1326.55,1329.75,1317.0,1319.0,1319.45,1927513.0,25463.72
2017-06-13,1320.6,1327.0,1311.0,1312.0,1314.35,1377291.0,18164.67
2017-06-14,1315.9,1360.0,1315.9,1360.0,1357.5,12101027.0,163129.63
2017-06-15,1360.0,1395.0,1359.1,1377.35,1383.95,6466804.0,89210.28
2017-06-16,1389.1,1395.8,1369.3,1387.1,1388.8,7477157.0,103541.67
2017-06-19,1390.2,1415.8,1390.2,1407.0,1409.25,3482912.0,49087.55
2017-06-20,1409.0,1422.1,1407.45,1411.05,1412.35,2318399.0,32794.84
2017-06-21,1407.8,1428.0,1404.25,1427.75,1422.0,4569943.0,64827.65
2017-06-22,1429.45,1445.4,1427.7,1434.8,1432.65,5055942.0,72711.03
2017-06-23,1436.0,1442.0,1430.6,1432.1,1435.85,7118832.0,102348.63
2017-06-27,1432.0,1443.0,1425.0,1439.05,1437.15,7449878.0,106805.34
2017-06-28,1439.95,1439.95,1395.55,1399.8,1398.5,3558538.0,50124.97
2017-06-29,1400.0,1410.0,1390.1,1392.35,1392.7,2948322.0,41209.29
2017-06-30,1392.0,1392.4,1375.05,1383.0,1380.0,1786211.0,24679.65
2017-07-03,1388.2,1394.7,1371.0,1384.0,1381.05,2101886.0,29046.74
2017-07-04,1390.0,1427.1,1389.0,1422.0,1421.95,4301200.0,60710.02
2017-07-05,1429.45,1447.45,1424.0,1440.05,1442.65,6219522.0,89601.56
2017-07-06,1448.7,1450.0,1438.0,1442.0,1442.55,3106517.0,44864.37
2017-07-07,1443.0,1497.75,1440.0,1489.5,1491.15,8193635.0,120246.73
2017-07-10,1530.0,1550.0,1489.1,1491.0,1492.85,815433.0,12192.07
2017-07-11,1501.0,1504.4,1487.0,1496.5,1494.35,4799229.0,71752.16
2017-07-12,1499.4,1525.0,1497.5,1511.25,1511.1,3909797.0,59127.9
2017-07-13,1508.75,1525.0,1506.15,1518.6,1522.1,5259759.0,79756.13
2017-07-14,1520.0,1536.0,1515.55,1533.0,1533.75,4693011.0,71692.12
2017-07-17,1537.0,1559.6,1537.0,1548.7,1551.75,4285809.0,66461.09
2017-07-18,1546.8,1551.8,1511.0,1520.5,1519.9,4489412.0,68530.88
2017-07-19,1512.6,1538.0,1512.6,1538.0,1532.95,2695041.0,41167.18
2017-07-20,1539.75,1550.0,1523.7,1526.1,1528.9,3114686.0,47824.81
2017-07-21,1550.0,1591.7,1544.95,1584.0,1585.0,22205112.0,349081.55
2017-07-24,1600.0,1624.9,1585.0,1619.0,1615.25,9927229.0,160187.97
2017-07-25,1624.7,1624.95,1597.6,1602.5,1602.15,4586079.0,73847.14
2017-07-26,1604.2,1629.9,1601.1,1621.15,1622.75,5018389.0,81333.83
2017-07-27,1628.0,1631.5,1588.35,1592.8,1594.8,4208071.0,67701.33
2017-07-28,1591.25,1605.95,1578.0,1594.0,1594.45,3276023.0,52163.22
2017-07-31,1601.95,1618.8,1596.0,1615.45,1615.2,3787034.0,60980.28
2017-08-01,1622.75,1622.75,1591.5,1605.8,1603.6,2814298.0,45169.59
2017-08-02,1610.0,1635.7,1608.1,1625.1,1629.2,4751385.0,77175.87
2017-08-03,1626.85,1664.9,1617.05,1654.0,1650.1,4504776.0,74125.08
2017-08-04,1663.0,1663.0,1615.1,1626.5,1622.15,4247045.0,69057.04
2017-08-07,1631.6,1631.6,1612.55,1618.0,1616.35,2180018.0,35335.99
2017-08-08,1618.0,1621.05,1586.8,1604.6,1602.55,2505568.0,40224.77
2017-08-09,1601.5,1620.0,1585.0,1595.0,1598.8,2385643.0,38308.53
2017-08-10,1593.05,1606.65,1577.95,1593.75,1584.35,2328843.0,37041.43
2017-08-11,1550.95,1580.0,1533.0,1545.5,1546.25,3885064.0,60535.35
2017-08-14,1561.0,1584.5,1561.0,1572.2,1573.05,3072299.0,48331.53
2017-08-16,1572.0,1576.0,1550.2,1576.0,1566.1,3103394.0,48472.52
2017-08-17,1569.0,1597.65,1561.15,1563.0,1567.1,3618179.0,57167.89
2017-08-18,1564.0,1577.8,1553.15,1576.25,1575.4,1814011.0,28460.63
2017-08-21,1577.0,1584.15,1560.25,1564.3,1564.4,1731188.0,27198.42
2017-08-22,1572.0,1579.9,1556.05,1560.1,1560.05,2179230.0,34187.9
2017-08-23,1564.85,1586.55,1553.15,1582.55,1582.05,1901824.0,29817.82
2017-08-24,1590.0,1593.1,1564.5,1570.0,1568.05,2892571.0,45584.89
2017-08-28,1579.05,1581.95,1561.2,1564.75,1566.55,2815328.0,44146.02
2017-08-29,1561.85,1567.5,1530.0,1532.05,1532.15,3466421.0,53503.3
2017-08-30,1547.55,1568.8,1541.25,1563.5,1564.1,2362387.0,36812.31
2017-08-31,1575.0,1597.45,1574.0,1595.4,1594.5,5738495.0,91086.81
2017-09-01,1599.85,1616.6,1599.0,1611.95,1610.1,3527477.0,56757.73
2017-09-04,1615.5,1636.15,1595.85,1615.0,1613.35,4928375.0,79678.45
2017-09-05,1630.0,1634.85,1621.05,1632.15,1632.6,5764131.0,93958.75
2017-09-06,1626.4,1652.5,1622.8,1644.0,1645.4,11142512.0,183395.08
2017-09-07,823.0,832.5,815.0,816.6,818.1,7408536.0,60932.38
2017-09-08,820.0,823.25,812.1,816.95,816.9,6056729.0,49501.61
2017-09-11,821.3,826.85,816.55,819.5,817.9,5801712.0,47729.66
2017-09-12,822.75,825.0,817.0,824.5,823.75,2971669.0,24419.98
2017-09-13,824.0,859.9,822.0,853.4,849.0,13430225.0,113750.39
2017-09-14,855.8,861.5,842.0,844.2,843.85,5425486.0,46133.69
2017-09-15,842.0,852.85,834.75,842.0,841.8,13072853.0,110072.22
2017-09-18,850.0,851.05,843.1,845.2,845.55,2314174.0,19604.94
2017-09-19,848.7,848.75,837.0,839.0,838.6,3528729.0,29630.56
2017-09-20,856.1,872.5,845.1,848.0,847.15,11402965.0,97598.76
2017-09-21,847.0,851.7,836.25,842.95,841.35,5920552.0,49837.09
2017-09-22,839.9,839.9,813.2,816.95,817.4,5620443.0,46350.16
2017-09-25,815.0,827.95,805.2,821.0,821.55,6505309.0,53219.38
2017-09-26,821.7,827.05,812.2,819.2,820.1,4829571.0,39562.99
2017-09-27,825.6,825.7,795.5,798.4,799.15,8434196.0,67967.64
2017-09-28,799.65,802.9,780.2,786.25,786.45,13508179.0,106662.41
2017-09-29,791.75,793.4,779.1,781.2,780.9,7619230.0,59849.77
